Model,Reference_number,Collection,Color_Case,Color_Strap,Description_Gender,Case_Diameter_Case_material,Material_Strap,Description_Movement,caliber_Time_display/function,Type_Clasp,Water_Resistant,Dial_description,Link_product
Auto Chrono,H32586181,Jazzmaster,Grey,Silver,,Stainless steel,Stainless steel,"The H-21 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h32586181-jazzmaster.html
Day Date Auto,H32505131,Jazzmaster,Black,,Men,Stainless steel,Stainless steel,"With an extended power reserve of up to 80 hours, the H-40 is both beautiful and bold. Almost double than market standard, 80 hours power reserve means you can remove your watch on Friday and it will still be ticking on Monday.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32505131-jazzmaster-day-date-auto.html
Day Date Auto,H32505151,Jazzmaster,Silver,,Men,Stainless steel,Stainless steel,"With an extended power reserve of up to 80 hours, the H-40 is both beautiful and bold. Almost double than market standard, 80 hours power reserve means you can remove your watch on Friday and it will still be ticking on Monday.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32505151-jazzmaster-day-date-auto.html
Auto Chrono,H32586141,Jazzmaster,Blue,Silver,,Stainless steel,Stainless steel,"The H-21 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h32586141-jazzmaster.html
Day Date Auto,H64645131,Khaki Aviation,Black,,Men,Stainless steel,Stainless steel,"With an extended power reserve of up to 80 hours, the H-40 is both beautiful and bold. Almost double than market standard, 80 hours power reserve means you can remove your watch on Friday and it will still be ticking on Monday.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h64645131-khaki-aviation-day-date-auto.html
Day Date Auto,H64605531,Khaki Aviation,Black,Brown,Men,Stainless steel,Cow leather,"With an extended power reserve of up to 80 hours, the H-40 is both beautiful and bold. Almost double than market standard, 80 hours power reserve means you can remove your watch on Friday and it will still be ticking on Monday.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h64605531-khaki-aviation-day-date-auto.html
Day Date Auto,H64645531,Khaki Aviation,Black,Brown,Men,Stainless steel,Cow leather,"With an extended power reserve of up to 80 hours, the H-40 is both beautiful and bold. Almost double than market standard, 80 hours power reserve means you can remove your watch on Friday and it will still be ticking on Monday.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h64645531-khaki-aviation-day-date-auto.html
Pilot Day Date Auto,H64725131,Khaki Aviation,Black,,,Stainless steel,Stainless steel,"A three-hand movement with a day-date function and boasting  a superior power reserve of 80 hours, the H-30 appears with intricate contrasting snail and pearled patterns for some models.



",80-hour power reserve,Sapphire,20 bar (200m)/290 psi (656.1ft),,https://www.hamiltonwatch.com/en-int/h64725131-khaki-pilot.html
Elvis80 Skeleton Auto,H24525331,Ventura,Black,Black,,Stainless steel,Rubber,"By suppressing the escapement regulator and through the refinement of the kinematic chain from the barrel to the escapement, the H-10-S has the capacity to store double the power of comparable standard movements, offering an extended power reserve of up to 80 hours. ",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),"Dare to be bold with the Ventura Elvis80 Skeleton, an ultra-modern tribute to the past, present and future of the world’s first electric watch. A powerful evolution of a revolutionary timepiece, its precise skeletonized dial features a striking zigzag at the center to match its luminous rose gold PVD-coated, triangular case. This bolt of energy celebrates an iconic symbol of innovation and draws the eye to the automatic H-10-S movement underneath.",https://www.hamiltonwatch.com/en-int/h24525331-ventura-elvis80-skeleton-auto.html
Elvis80 Skeleton Auto,H24535331,Ventura,Black,Black,,Stainless steel,Rubber,"By suppressing the escapement regulator and through the refinement of the kinematic chain from the barrel to the escapement, the H-10-S has the capacity to store double the power of comparable standard movements, offering an extended power reserve of up to 80 hours. ",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),"Dare to be bold with the Ventura Elvis80 Skeleton, an ultra-modern tribute to the past, present and future of the world’s first electric watch. A powerful evolution of a revolutionary timepiece, its precise skeletonized dial features a striking red zigzag at the center of its sleek, black PVD-coated, triangular case. This bolt of energy celebrates an iconic symbol of innovation and draws the eye to the automatic H-10-S movement underneath.",https://www.hamiltonwatch.com/en-int/h24535331-ventura-elvis80-skeleton-auto.html
Intra-Matic Auto Chrono 40mm,H38416560,American Classic,Green,,,Stainless steel,,"The H-31 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h38416560-american-classic-intra-matic-auto-chrono-40mm.html
Pilot Day Date Auto,H64725531,Khaki Aviation,Black,Brown,,Stainless steel,Cow leather,"A three-hand movement with a day-date function and boasting  a superior power reserve of 80 hours, the H-30 appears with intricate contrasting snail and pearled patterns for some models.



",80-hour power reserve,Sapphire,20 bar (200m)/290 psi (656.1ft),,https://www.hamiltonwatch.com/en-int/h64725531-khaki-pilot.html
Pilot Day Date Auto,H64705531,Khaki Aviation,Black,Brown,,Stainless steel,Cow leather,"A three-hand movement with a day-date function and boasting  a superior power reserve of 80 hours, the H-30 appears with intricate contrasting snail and pearled patterns for some models.



",80-hour power reserve,Sapphire,20 bar (200m)/290 psi (656.1ft),,https://www.hamiltonwatch.com/en-int/h64705531-khaki-pilot.html
DAY DATE AUTO,H70535061,Khaki Field,Green,Green,Men,Stainless steel,Textile,"A three-hand movement with a day-date function and boasting  a superior power reserve of 80 hours, the H-30 appears with intricate contrasting snail and pearled patterns for some models.



",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h70535061-khaki-field-day-date-auto.html
DAY DATE AUTO,H70535031,Khaki Field,Black,Beige,Men,Stainless steel,Textile,"A three-hand movement with a day-date function and boasting  a superior power reserve of 80 hours, the H-30 appears with intricate contrasting snail and pearled patterns for some models.



",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h70535031-khaki-field-day-date-auto.html
DAY DATE,H70535131,Khaki Field,Black,,Men,Stainless steel,Stainless steel,"A three-hand movement with a day-date function and boasting  a superior power reserve of 80 hours, the H-30 appears with intricate contrasting snail and pearled patterns for some models.



",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h70535131-khaki-field-day-date-auto.html
Day Date Auto,H70535531,Khaki Field,Black,,,Stainless steel,Cow leather,"A three-hand movement with a day-date function and boasting  a superior power reserve of 80 hours, the H-30 appears with intricate contrasting snail and pearled patterns for some models.



",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h70535531-day-date-auto.html
Open Heart Auto,H32565585,Jazzmaster,Grey,Brown,Men,Stainless steel,Ostrich leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32565585-jazzmaster-auto-chrono.html
Boulton Mechanical,H13519711,American Classic,White,Black,,Stainless steel,Cow leather,"The H-50 is an exclusive caliber specifically developed for our handwinding watches. The H-50 is available with or without a date function and has an extended power reserve of up to 80 hours, ensuring maximum reliability even when it is not wound for a few days.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h13519711-boulton-mechanical.html
X-Wind Auto ,H77775960,Khaki Aviation,Green,Green,,Stainless steel,Textile,"A three-hand movement with a day-date function and boasting  a superior power reserve of 80 hours, the H-30 appears with intricate contrasting snail and pearled patterns for some models.



",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h77775960-khaki-x-wind-auto-45mm.html
Boulton Mechanical,H13519641,American Classic,Blue,Blue,,Stainless steel,Cow leather,"The H-50 is an exclusive caliber specifically developed for our handwinding watches. The H-50 is available with or without a date function and has an extended power reserve of up to 80 hours, ensuring maximum reliability even when it is not wound for a few days.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h13519641-boulton-mechanical.html
Boulton Mechanical,H13519561,American Classic,Green,Brown,,Stainless steel,Cow leather,"The H-50 is an exclusive caliber specifically developed for our handwinding watches. The H-50 is available with or without a date function and has an extended power reserve of up to 80 hours, ensuring maximum reliability even when it is not wound for a few days.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h13519561-boulton-mechanical.html
Open Heart Lady Auto,H32215190,Jazzmaster,Mother of pearl,,Women,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32215190-jazzmaster-open-heart-lady-auto.html
GMT | LIMITED EDITION,H43725131,Broadway,Black,,Men,Stainless steel,Stainless steel,,80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h43725131-broadway-gmt.html
Viewmatic Auto,H32515155,Jazzmaster,Silver,,Men,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32515155-jazzmaster-day-date-auto.html
Viewmatic Auto,H32515135,Jazzmaster,Black,,Men,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32515135-jazzmaster-day-date-auto.html
Viewmatic Auto,H32755851,Jazzmaster,Grey,Brown,,Stainless steel,Ostrich leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32755851-jazzmaster-viewmatic-auto.html
Scuba Auto,H82345141,Khaki Navy,Blue,Silver,,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h82345141-khaki-scuba.html
Scuba Auto,H82345941,Khaki Navy,Blue,Blue,,Stainless steel,Nato,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h82345941-khaki-scuba.html
Scuba Auto,H82345341,Khaki Navy,Blue,Blue,,Stainless steel,Rubber,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h82345341-khaki-scuba.html
Elvis80 Auto,H24555331,Ventura,Black,Black,Men,Stainless steel,Rubber,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h24555331-ventura-elvis80-auto.html
Elvis80 Auto,H24585331,Ventura,Black,Black,Men,Stainless steel,Rubber,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h24585331-ventura-elvis80-auto.html
Elvis80 Auto,H24505311,Ventura,White,White,,Stainless steel,Rubber,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h24505311-ventura.html
Boulton Quartz,H13431553,American Classic,White,Brown,Men,Stainless steel,Calf leather,,,Sapphire,3 bar (30m)/43 psi (98.4ft),,https://www.hamiltonwatch.com/en-int/h13431553-boulton-quartz.html
X-Wind GMT Chrono Quartz,H77922341,Khaki Aviation,Blue,Black,,Stainless steel,Rubber,,,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h77922341-khaki-x-wind.html
X-Wind Day Date Auto,H77755133,Khaki Aviation,Black,,Men,Stainless steel,Stainless steel,"A three-hand movement with a day-date function and boasting  a superior power reserve of 80 hours, the H-30 appears with intricate contrasting snail and pearled patterns for some models.



",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h77755133-khaki-aviation-x-wind-day-date-auto.html
X-Wind Day Date Auto,H77755533,Khaki Aviation,Black,Brown,Men,Stainless steel,Cow leather,"A three-hand movement with a day-date function and boasting  a superior power reserve of 80 hours, the H-30 appears with intricate contrasting snail and pearled patterns for some models.



",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h77755533-khaki-aviation-x-wind-day-date-auto.html
X-Wind Day Date Auto,H77785733,Khaki Aviation,Black,Black,Men,Stainless steel,Cow leather,"A three-hand movement with a day-date function and boasting  a superior power reserve of 80 hours, the H-30 appears with intricate contrasting snail and pearled patterns for some models.



",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h77785733-khaki-aviation-x-wind-day-date-auto.html
X-Wind GMT Chrono Quartz,H77922541,Khaki Aviation,Blue,Brown,,Stainless steel,Cow leather,,,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h77922541-khaki-x-wind.html
X-Wind GMT Chrono Quartz,H77922141,Khaki Aviation,Blue,,,Stainless steel,Stainless steel,,,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h77922141-khaki-x-wind.html
X-WIND DAY DATE AUTO CHRONO,H77796535,Khaki Aviation,Black,Beige,Men,Stainless steel,Cow leather,"The H-21-Si is an automatic chronograph movement featuring a state-of-the-art balance spring made from the anti-magnetic material silicon for enhanced resistance to extreme atmospheric conditions. With an extended 60-hour power reserve, this powerful caliber reliably keeps and measures time via two or three sub dials at 6, 9 and/or 12 o’clock, and start/stop and reset pushers on the side.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h77796535-khaki-aviation-day-date-auto-chrono.html
Skeleton Auto,H42535610,Jazzmaster,White,Blue,Men,Stainless steel,,"By suppressing the escapement regulator and through the refinement of the kinematic chain from the barrel to the escapement, the H-10-S has the capacity to store double the power of comparable standard movements, offering an extended power reserve of up to 80 hours. ",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h42535610-jazzmaster-skeleton-auto.html
Open Heart Auto,H32705541,Jazzmaster,Blue,Brown,Men,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32705541-jazzmaster-open-heart-auto.html
Skeleton Auto,H42505510,Jazzmaster,White,Brown,Men,Stainless steel,,"By suppressing the escapement regulator and through the refinement of the kinematic chain from the barrel to the escapement, the H-10-S has the capacity to store double the power of comparable standard movements, offering an extended power reserve of up to 80 hours. ",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h42505510-jazzmaster-skeleton-auto.html
Open Heart Auto,H32705731,Jazzmaster,Black,Black,Men,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32705731-jazzmaster-open-heart-auto.html
Skeleton Auto,H42535780,Jazzmaster,Anthracite,Black,Men,Stainless steel,,"By suppressing the escapement regulator and through the refinement of the kinematic chain from the barrel to the escapement, the H-10-S has the capacity to store double the power of comparable standard movements, offering an extended power reserve of up to 80 hours. ",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h42535780-jazzmaster-skeleton-auto.html
DAY DATE,H70535081,Khaki Field,Grey,Green,Men,Stainless steel,Textile,"A three-hand movement with a day-date function and boasting  a superior power reserve of 80 hours, the H-30 appears with intricate contrasting snail and pearled patterns for some models.



",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h70535081-khaki-field-day-date-auto.html
Open Heart Auto,H32705581,Jazzmaster,Grey,Brown,,Stainless steel,Ostrich leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32705581-jazzmaster.html
X-Wind Auto Chrono,H77916920,Khaki Aviation,Brown,Beige,,Stainless steel,Textile,"The H-21-Si is an automatic chronograph movement featuring a state-of-the-art balance spring made from the anti-magnetic material silicon for enhanced resistance to extreme atmospheric conditions. With an extended 60-hour power reserve, this powerful caliber reliably keeps and measures time via two or three sub dials at 6, 9 and/or 12 o’clock, and start/stop and reset pushers on the side.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h77916920-khaki-x-wind-auto-chrono-45mm.html
Quartz,H24401731,Ventura,Black,Black,,Stainless steel,Cow leather,,,Mineral,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h24401731-quartz.html
X-Wind Auto Chrono,H77906940,Khaki Aviation,Blue,Blue,,Stainless steel,Textile,"The H-21-Si is an automatic chronograph movement featuring a state-of-the-art balance spring made from the anti-magnetic material silicon for enhanced resistance to extreme atmospheric conditions. With an extended 60-hour power reserve, this powerful caliber reliably keeps and measures time via two or three sub dials at 6, 9 and/or 12 o’clock, and start/stop and reset pushers on the side.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h77906940-khaki-x-wind-auto-chrono-45mm.html
Mechanical,H69809730,Khaki Field,Black,Black,Men,Stainless steel,Cow leather,"The H-50 is an exclusive caliber specifically developed for our handwinding watches. The H-50 is available with or without a date function and has an extended power reserve of up to 80 hours, ensuring maximum reliability even when it is not wound for a few days.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h69809730-khaki-field.html
Day Date Auto,H32505731,Jazzmaster,Black,Black,Men,Stainless steel,Calf leather,"With an extended power reserve of up to 80 hours, the H-40 is both beautiful and bold. Almost double than market standard, 80 hours power reserve means you can remove your watch on Friday and it will still be ticking on Monday.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32505731-jazzmaster-day-date-auto.html
Spirit of Liberty Auto Chrono,H32416131,American Classic,Black,,,Stainless steel,Stainless steel,"The H-21 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32416131-spirit-of-liberty.html
Spirit of Liberty Auto Chrono,H32416581,American Classic,Silver,Brown,Men,Stainless steel,Calf leather,"The H-21 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",60-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32416581-american-classic-spirit-of-liberty-auto-chrono.html
Intra-Matic Auto,H38425120,American Classic,White,Silver,,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38425120-american-classic-intra-matic-auto.html
Intra-Matic Auto,H38425720,American Classic,Beige,Black,,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38425720-american-classic-intra-matic-auto.html
Spirit of Liberty Auto Chrono,H32416541,American Classic,Blue,Brown,,Stainless steel,Calf leather,"The H-21 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",60-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32416541-spirit-of-liberty.html
Auto Chrono,H32596131,Jazzmaster,Black,,Men,Stainless steel,Stainless steel,"The H-21 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h32596131-jazzmaster-auto-chrono.html
Intra-Matic Auto,H38425540,American Classic,Blue,Brown,,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38425540-american-classic-intra-matic-auto.html
Chrono Quartz,H24412732,Ventura,Black,Black,Men,Stainless steel,Calf leather,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h24412732-ventura-chrono-quartz.html
Intra-Matic Auto,H38425140,American Classic,Blue,Silver,,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38425140-american-classic-intra-matic-auto.html
Chrono Quartz,H32612735,Jazzmaster,Black,Black,Men,Stainless steel,Cow leather,,,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h32612735-jazzmaster-chrono-quartz.html
Intra-Matic Auto,H38735501,American Classic,Brown,Brown,Men,Stainless steel,Calf leather,,42-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38735501-intra-matic.html
Intra-Matic Auto,H38755751,American Classic,Silver,Black,Men,Stainless steel,Rubber,,50-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38755751-american-classic-intra-matic-auto.html
Valiant Auto,H39515134,American Classic,Black,,Men,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h39515134-american-classic-valiant-auto.html
Valiant Auto,H39515154,American Classic,Silver,,Men,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h39515154-american-classic-valiant-auto.html
Day Date Auto,H32505741,Jazzmaster,Blue,Black,Men,Stainless steel,Calf leather,"With an extended power reserve of up to 80 hours, the H-40 is both beautiful and bold. Almost double than market standard, 80 hours power reserve means you can remove your watch on Friday and it will still be ticking on Monday.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32505741-jazzmaster-day-date-auto.html
Valiant Auto,H39515734,American Classic,Black,Black,Men,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h39515734-american-classic-valiant-auto.html
Intra-Matic Auto,H38745501,American Classic,Grey,Brown,,Stainless steel,Calf leather,,42-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38745501-intra-matic.html
Quartz,H24211852,Ventura,Mother of pearl,White,Women,Stainless steel,Cow leather,,,Mineral,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h24211852-ventura-quartz.html
Lady Hamilton Vintage Quartz,H31231113,American Classic,Mother of pearl,,,Stainless steel,Stainless steel,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h31231113-lady-hamilton.html
Thinline Quartz,H38511133,Jazzmaster,Black,,Men,Stainless steel,Stainless steel,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38511133-jazzmaster-thinline-quartz.html
Thinline Quartz,H38511553,Jazzmaster,Silver,Brown,Men,Stainless steel,Calf leather,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38511553-jazzmaster-thinline-quartz.html
Lady Hamilton Vintage Quartz,H31271113,American Classic,Mother of pearl,,,Stainless steel,Stainless steel,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h31271113-lady-hamilton.html
